
tsla,
nio,
baba,
chwy,
crm,
jnj,
zm,
lmt,
msft,
mcd,
cost,
tsm,
etn,
hd,
ma,
tdoc,
adbe,
abnb,
ual,
save,
gs,
docu,
dis,
sq,
fb,
arkk,
u,
pltr,
amd,
lmnd
